words,southwest_lng,southwest_lat,northeast_lng,northeast_lat,nearestPlace,pt_lng,pt_lat,country,language
penguin.belches.also,99.855669,69.466661,99.855746,69.466688,"Katyryk, Krasnoyarsk Krai",99.855707,69.466675,RU,en
penguin.belches.back,-173.058264,66.955476,-173.058196,66.955503,"Lorino, Chukotka Autonomous Okrug",-173.05823,66.95549,RU,en
penguin.belches.each,27.564406,65.305708,27.56447,65.305735,"Pudasjärvi, Northern Ostrobothnia",27.564438,65.305722,FI,en
penguin.assembles.back,-88.889011,36.085382,-88.888978,36.085409,"Bradford, Tennessee",-88.888995,36.085395,US,en
penguin.assembled.back,-16.191074,81.092524,-16.1909,81.092551,Northeast Greenland National Park,-16.190987,81.092537,GL,en
penguin.assembles.both,-98.750729,27.459654,-98.750699,27.459681,"Hebbronville, Texas",-98.750714,27.459667,US,en
penguin.sanest.back,-67.33354,66.931732,-67.333471,66.931759,"Pangnirtung, Nunavut",-67.333506,66.931746,CA,en
penguin.starkest.back,170.818913,63.930061,170.818974,63.930088,"Vayegi, Chukotka Autonomous Okrug",170.818943,63.930075,RU,en
penguin.sanest.much,-111.252998,57.919524,-111.252947,57.91955,"Fort McMurray, Alberta",-111.252973,57.919537,CA,en
penguin.dreamtime.deep,-67.14782,-28.900334,-67.147789,-28.900307,"Villa Bustos, La Rioja",-67.147804,-28.900321,AR,en
penguin.dreamtime.good,137.909378,50.236875,137.90942,50.236902,"Selikhino, Khabarovsk Krai",137.909399,50.236888,RU,en
penguin.dreamtime.down,47.390809,47.247035,47.390848,47.247062,"Tambovka, Astrakhan Oblast",47.390829,47.247049,RU,en
penguin.investor.deep,140.661447,-23.874757,140.661477,-23.87473,"Bedourie, Queensland",140.661462,-23.874744,AU,en
penguin.investor.even,136.276997,-21.269001,136.277025,-21.268974,"Ampilatwatja, Northern Territory",136.277011,-21.268987,AU,en
penguin.investor.each,-90.166634,33.533608,-90.166602,33.533635,"Greenwood, Mississippi",-90.166618,33.533622,US,en
penguin.able.from,-88.580146,35.747305,-88.580113,35.747332,"Medina, Tennessee",-88.580129,35.747318,US,en
penguin.deal.from,132.617226,-23.720569,132.617256,-23.720542,"Alice Springs, Northern Territory",132.617241,-23.720556,AU,en
penguin.able.life,114.751,-23.60732,114.75103,-23.607293,"Carnarvon, Western Australia",114.751015,-23.607306,AU,en
penguin.chronometer.good,98.390569,16.68405,98.390597,16.684077,"Myawadi, Kayin",98.390583,16.684064,MM,en
penguin.chronometer.give,67.936983,33.451299,67.937016,33.451326,Ghazni,67.936999,33.451313,AF,en
penguin.chronometer.long,4.769729,17.786492,4.769758,17.786519,"Assamakka, Agadez",4.769744,17.786505,NE,en
penguin.spearing.than,127.332728,-20.748545,127.332757,-20.748518,"Balgo, Western Australia",127.332742,-20.748531,AU,en
penguin.spearing.much,147.063515,-25.413352,147.063545,-25.413325,"Charleville, Queensland",147.06353,-25.413338,AU,en
penguin.spearing.such,142.117152,-17.184455,142.11718,-17.184428,"Karumba, Queensland",142.117166,-17.184441,AU,en
penguin.industrious.into,140.720233,39.807406,140.720268,39.807433,"Shizukuishi, Iwate",140.720251,39.80742,JP,en
penguin.industrious.like,1.81503,44.911061,1.815068,44.911088,"Bretenoux, Lot",1.815049,44.911074,FR,en
penguin.industrious.life,104.244098,72.126482,104.244186,72.126509,"Khatanga, Krasnoyarsk Krai",104.244142,72.126496,RU,en
penguin.bestows.just,138.838157,-21.907934,138.838186,-21.907908,"Mount Isa, Queensland",138.838171,-21.907921,AU,en
penguin.bestow.just,39.816369,-15.981431,39.816397,-15.981404,"António Enes, Nampula",39.816383,-15.981417,MZ,en
penguin.bestows.jobs,152.347568,-28.043418,152.347599,-28.043392,"Warwick, Queensland",152.347584,-28.043405,AU,en
penguin.metropolis.like,11.105713,18.151978,11.105741,18.152005,"Bilma, Agadez",11.105727,18.151992,NE,en
penguin.metropolis.take,71.246559,30.441489,71.24659,30.441516,"Kot Addu, Punjab",71.246575,30.441502,PK,en
penguin.paradoxical.also,68.970603,43.334789,68.970641,43.334816,"Ashchysay, South Kazakhstan",68.970622,43.334802,KZ,en
penguin.paradoxical.last,24.151297,-32.480029,24.151329,-32.480002,"Graaff-Reinet, Eastern Cape",24.151313,-32.480016,ZA,en
penguin.paradoxical.help,27.594454,43.29606,27.594491,43.296087,"Suvorovo, Varna",27.594473,43.296073,BG,en
